frame.number,frame.time,eth.src,eth.dst,_ws.col.protocol,goose.float_value
"1","2026-01-24T14:39:45.228229635+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2","2026-01-24T14:39:45.228262987+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"3","2026-01-24T14:39:45.278945447+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"4","2026-01-24T14:39:45.278987136+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"5","2026-01-24T14:39:45.318823800+0100","b4:b1:5a:0a:b4:01","01:0c:cd:01:00:06","GOOSE","5.004076"
"6","2026-01-24T14:39:45.329403789+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"7","2026-01-24T14:39:45.329433063+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"8","2026-01-24T14:39:45.379953169+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"9","2026-01-24T14:39:45.379961935+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"10","2026-01-24T14:39:45.430386694+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"11","2026-01-24T14:39:45.430423332+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"12","2026-01-24T14:39:45.480711474+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"13","2026-01-24T14:39:45.480790673+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"14","2026-01-24T14:39:45.531117157+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"15","2026-01-24T14:39:45.531143256+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"16","2026-01-24T14:39:45.581489176+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"17","2026-01-24T14:39:45.581534381+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"18","2026-01-24T14:39:45.631619413+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"19","2026-01-24T14:39:45.631619643+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"20","2026-01-24T14:39:45.681916141+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"21","2026-01-24T14:39:45.681916321+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"22","2026-01-24T14:39:45.732048612+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"23","2026-01-24T14:39:45.732218370+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"24","2026-01-24T14:39:45.775497496+0100","00:30:a7:00:00:04","01:0c:cd:01:00:06","GOOSE","5.004076"
"25","2026-01-24T14:39:45.782411865+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"26","2026-01-24T14:39:45.782438545+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"27","2026-01-24T14:39:45.832828428+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"28","2026-01-24T14:39:45.832889823+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"29","2026-01-24T14:39:45.883305834+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"30","2026-01-24T14:39:45.883320992+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"31","2026-01-24T14:39:45.933913023+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"32","2026-01-24T14:39:45.933938571+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"33","2026-01-24T14:39:45.984128049+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"34","2026-01-24T14:39:45.984149419+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"35","2026-01-24T14:39:46.034396435+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"36","2026-01-24T14:39:46.034414238+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"37","2026-01-24T14:39:46.084717949+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"38","2026-01-24T14:39:46.084718420+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"39","2026-01-24T14:39:46.135081943+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"40","2026-01-24T14:39:46.135117219+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"41","2026-01-24T14:39:46.185546576+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"42","2026-01-24T14:39:46.185580730+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"43","2026-01-24T14:39:46.235859083+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"44","2026-01-24T14:39:46.235877158+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"45","2026-01-24T14:39:46.286083857+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"46","2026-01-24T14:39:46.286286917+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"47","2026-01-24T14:39:46.336478870+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"48","2026-01-24T14:39:46.336523504+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"49","2026-01-24T14:39:46.336651072+0100","b4:b1:5a:0a:b4:01","01:0c:cd:01:00:06","GOOSE","5.00731325"
