frame.number,frame.time,eth.src,eth.dst,_ws.col.protocol,goose.float_value
"2093","2026-01-24T00:33:35.657858205+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2094","2026-01-24T00:33:35.658195978+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2095","2026-01-24T00:33:35.708410973+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2096","2026-01-24T00:33:35.708421208+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2097","2026-01-24T00:33:35.758583965+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2098","2026-01-24T00:33:35.758613675+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2099","2026-01-24T00:33:35.809118087+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2100","2026-01-24T00:33:35.809127059+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2101","2026-01-24T00:33:35.859444847+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2102","2026-01-24T00:33:35.859472384+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2103","2026-01-24T00:33:35.910061789+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2104","2026-01-24T00:33:35.910074218+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2105","2026-01-24T00:33:35.960261246+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2106","2026-01-24T00:33:35.960830775+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2107","2026-01-24T00:33:36.010912947+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2108","2026-01-24T00:33:36.011036859+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2109","2026-01-24T00:33:36.024161177+0100","00:30:a7:00:00:04","01:0c:cd:01:00:06","GOOSE","5.00337029"
"2110","2026-01-24T00:33:36.061556188+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2111","2026-01-24T00:33:36.061556279+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2112","2026-01-24T00:33:36.111747805+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2113","2026-01-24T00:33:36.111748366+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2114","2026-01-24T00:33:36.162199486+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2115","2026-01-24T00:33:36.162210948+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2116","2026-01-24T00:33:36.212517741+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2117","2026-01-24T00:33:36.212517781+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2118","2026-01-24T00:33:36.262854528+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2119","2026-01-24T00:33:36.262867773+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2120","2026-01-24T00:33:36.313192639+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2121","2026-01-24T00:33:36.313226052+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2122","2026-01-24T00:33:36.363969593+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2123","2026-01-24T00:33:36.363993516+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2124","2026-01-24T00:33:36.414272717+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2125","2026-01-24T00:33:36.414289538+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2126","2026-01-24T00:33:36.464813406+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2127","2026-01-24T00:33:36.464828244+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2128","2026-01-24T00:33:36.514971580+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2129","2026-01-24T00:33:36.515423255+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2130","2026-01-24T00:33:36.543652767+0100","b4:b1:5a:0a:b4:01","01:0c:cd:01:00:06","GOOSE","5.00337029"
"2131","2026-01-24T00:33:36.565495108+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2132","2026-01-24T00:33:36.565995574+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2133","2026-01-24T00:33:36.616015194+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2134","2026-01-24T00:33:36.616572360+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2135","2026-01-24T00:33:36.666245903+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2136","2026-01-24T00:33:36.666791288+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2137","2026-01-24T00:33:36.716761351+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2138","2026-01-24T00:33:36.717175556+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2139","2026-01-24T00:33:36.767300693+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2140","2026-01-24T00:33:36.767902292+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2141","2026-01-24T00:33:36.817496692+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2142","2026-01-24T00:33:36.818409550+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2143","2026-01-24T00:33:36.867973752+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2144","2026-01-24T00:33:36.869054033+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2145","2026-01-24T00:33:36.918455462+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2146","2026-01-24T00:33:36.919629439+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2147","2026-01-24T00:33:36.968804021+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2148","2026-01-24T00:33:36.969849239+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2149","2026-01-24T00:33:37.019323927+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2150","2026-01-24T00:33:37.020281843+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2151","2026-01-24T00:33:37.034743509+0100","00:30:a7:00:00:04","01:0c:cd:01:00:06","GOOSE","5.00208044"
"2152","2026-01-24T00:33:37.069778194+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2153","2026-01-24T00:33:37.070843772+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2154","2026-01-24T00:33:37.120285766+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2155","2026-01-24T00:33:37.121280888+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2156","2026-01-24T00:33:37.170693814+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2157","2026-01-24T00:33:37.171740868+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2158","2026-01-24T00:33:37.221326251+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2159","2026-01-24T00:33:37.222434254+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2160","2026-01-24T00:33:37.271852398+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2161","2026-01-24T00:33:37.272751434+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2162","2026-01-24T00:33:37.322388749+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2163","2026-01-24T00:33:37.322902444+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2164","2026-01-24T00:33:37.372936462+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2165","2026-01-24T00:33:37.373542811+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2166","2026-01-24T00:33:37.423491965+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2167","2026-01-24T00:33:37.424040551+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2168","2026-01-24T00:33:37.473772643+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2169","2026-01-24T00:33:37.474342203+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2170","2026-01-24T00:33:37.524320766+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2171","2026-01-24T00:33:37.524997352+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2172","2026-01-24T00:33:37.554124577+0100","b4:b1:5a:0a:b4:01","01:0c:cd:01:00:06","GOOSE","5.00208044"
"2173","2026-01-24T00:33:37.574855399+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2174","2026-01-24T00:33:37.575402773+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2175","2026-01-24T00:33:37.625160704+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2176","2026-01-24T00:33:37.625683702+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
