frame.number,frame.time,eth.src,eth.dst,_ws.col.protocol,goose.float_value
"1","2026-01-24T12:32:35.513676194+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"2","2026-01-24T12:32:35.513727910+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"3","2026-01-24T12:32:35.563988795+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"4","2026-01-24T12:32:35.563991680+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"5","2026-01-24T12:32:35.614326072+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"6","2026-01-24T12:32:35.614367379+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"7","2026-01-24T12:32:35.664677977+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"8","2026-01-24T12:32:35.664728069+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"9","2026-01-24T12:32:35.673473883+0100","b4:b1:5a:0a:b4:01","01:0c:cd:01:00:06","GOOSE","5.00909901"
"10","2026-01-24T12:32:35.714914430+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"11","2026-01-24T12:32:35.714936956+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"12","2026-01-24T12:32:35.765307767+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"13","2026-01-24T12:32:35.765314746+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"14","2026-01-24T12:32:35.815649994+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"15","2026-01-24T12:32:35.815660853+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"16","2026-01-24T12:32:35.866075418+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"17","2026-01-24T12:32:35.866085054+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"18","2026-01-24T12:32:35.916238447+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"19","2026-01-24T12:32:35.916754263+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"20","2026-01-24T12:32:35.967354713+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"21","2026-01-24T12:32:35.967413413+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"22","2026-01-24T12:32:36.017724190+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"23","2026-01-24T12:32:36.017758215+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"24","2026-01-24T12:32:36.068247015+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"25","2026-01-24T12:32:36.068292359+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"26","2026-01-24T12:32:36.118369812+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"27","2026-01-24T12:32:36.118925772+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"28","2026-01-24T12:32:36.168974731+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"29","2026-01-24T12:32:36.169210773+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"30","2026-01-24T12:32:36.218923249+0100","00:30:a7:00:00:04","01:0c:cd:01:00:06","GOOSE","5.00785589"
"31","2026-01-24T12:32:36.219143107+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"32","2026-01-24T12:32:36.219581091+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"33","2026-01-24T12:32:36.269591859+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"34","2026-01-24T12:32:36.269730258+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"35","2026-01-24T12:32:36.319833979+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"36","2026-01-24T12:32:36.319839137+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"37","2026-01-24T12:32:36.370122539+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"38","2026-01-24T12:32:36.370170103+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"39","2026-01-24T12:32:36.420256961+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"40","2026-01-24T12:32:36.420738503+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"41","2026-01-24T12:32:36.470510173+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"42","2026-01-24T12:32:36.471055412+0100","b4:b1:5a:00:00:02","01:0c:cd:01:00:01","IEC61850 Sampled Values",
"43","2026-01-24T12:32:36.520933711+0100","00:30:a7:00:00:03","01:0c:cd:01:00:01","IEC61850 Sampled Values",
